UID          ,RandomID
se23x501     ,501
ai23m002     ,002
ai23m038     ,038
ai23m060     ,060
ai23m049     ,049
ai23m056     ,056
ai23m010     ,010
ai23m035     ,035
ai23m058     ,058
ai23m045     ,045
ai23m012     ,012
ai23m061     ,061
ai23m054     ,054
ai23m040     ,040
ai23m064     ,064
ai23m044     ,044
ai23m015     ,015
ai23m057     ,057
ai23m041     ,041
ai23m017     ,017
ai23m019     ,019
ai23m020     ,020
ai23m062     ,062
ai23m021     ,021
ai23m022     ,022
ai23m048     ,048
ai23m042     ,042
ai23m026     ,026
ai23m027     ,027
ai23m028     ,028
ai23m031     ,031
ai23m043     ,043
ai23m032     ,032
